country_code,indicator_code,indicator_name,year,value
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,42954.8494884573
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,49811.2067218988
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,41128.2476618402
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2006,36658.8243476122
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2005,34535.20727091
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2004,30886.0500949401
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2003,23757.5898471684
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2002,20335.0960191023
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2001,19733.6510102645
AUS,NY.GDP.PCAP.CD,GDP per capita (current US$),2000,21908.9968019784
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2024,58268.8787651601
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2023,56579.504175468
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2022,52336.7725223758
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2021,53648.6437976214
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2020,48716.4098900349
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2019,49885.9947355204
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2018,51194.0749841299
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2017,47163.7425775142
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2016,45061.4993920192
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2015,43915.228020857
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2014,51314.9722616322
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2013,50305.3545774973
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2012,48250.4059142637
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2011,51116.8953522042
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2010,46611.1393420232
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2009,47857.4446635266
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2008,51581.3982361071
AUT,NY.GDP.PCAP.CD,GDP per capita (current US$),2007,46622.9622913635
